あそこ あっこ
居た時 おった時
ことは こつは
かなくて かんで
乾きました 乾いたと
なんですから やけん
頑張りなさい 頑張らんば
思っていたんだけど 思うとったとばってん
出しましょうよ 出してむうで
出しましょうか 出してむうか
出しましょう 出そうで
ご覧ください 見てくれんね
やってきますね やってくんね
やってきますから やってくっけん
やってきますので やってくっけん
やってきますけど やってくっばってん
やってきますが やってくっばってんか
やってきます やってくっばい
でございます たい
ぉ ー
ぇ ー
ぅ ー
ぃ ー
ぁ ー
えなくって えんで
んでるのに んどっとに
行くのではない 行くっちゃなか
手伝って 手伝どうて
ているのですから とっけん
ているのですので とっけんで
ているのですけど とっとばってん
ているのですが とっとばってんか
ているのです とっと
鉛筆削り 鉛筆とぎ
鉛筆を削る 鉛筆ばとぐ
んでますけど んどっばってん
んでますから んどっけん
んでますので んどっけんで
んでますが んどっとばってんか
んでます んどっと
をしまって ばなおして
できないので できんけんで
をしまいなさい ばなおさんね
てしまいなさい てしまわんね
早く 早う
るのですか るとか
溺れる人が ぶくるっとの
溺れる人 ぶくるっと
おぼれた ぶくれた
溺れるよ ぶくるっよ
溺れる ぶくる
溺れた ぶくれた
笑われる 笑わる
わらわれる わらわる
店の 店ん
九州の 九州ん
人の 人ん
梅雨入りが 梅雨入りの
彼女の 彼女ん
九州弁が 九州弁の
稲佐一号が 稲佐一号の
稲佐１号が 稲佐１号の
来たんです 来たと
ですわ ばい
捨てますから 捨つっけん
捨てますので 捨つっけんで
捨てますけど 捨つっばってん
捨てますが 捨つっばってんか
捨てます 捨つっけん
してますね しとんね
こなければ こんば
げなければ げんば
けなければ けんば
めなければ めんば
らなければ らんば
かなければ かんば
れるのでしょうか るっとやろか
有りません 無か
ていたのですので とったとけんで
ていたのですから とったとやけん
ていたのですけど とったとばってん
ていたのですが とったとばってんか
ていたのです とったと
なもので やけんで
お飲み物 飲みもん
お探し 探しよっと
なにを なんば
たのでしょう たとやろう
飲みません 飲まん
呑みません 呑まん
やってますね しよんね
そんなの そがんと
なんですもん やもん
ならなくては ならんば
つきますよ つくばい
つきます つくけん
ますよ ますけん
なんだろ なんやろ
んだら んでしもうたら
いいえ んにゃ
待ち遠しい 待ちなんか
食べないが 食べんばってんか
食べない 食べん
食べなさい 食べんね
でないところで でらんとこで
おんなじ おんなじ
じゃないの じゃなかと
らなきゃ らんば
ご入力 入れて
ご了承ください ガマンせんね
ご了承下さい ガマンせんね
ございますので あっけんで
たのですか たと
こんなの こがんと
来ません 来ん
いらっしゃいませんか 来んね
いらっしゃいませ よう来たたい
んだのでしょう んだとやろう
んだのでしょうか んだとやろか
かわいいもん かわいかもん
かわいいもの かわいかもん
のはず ってことはいわんちゃ決まっとっはず
こんなに こがん
行けません 行かれん
きたんです きたと
きたんですか きたっか
いらっしゃいます おらす
お願い致します 頼むけん
するの すっと
てないの とらんと
寒そう 寒かごたる
は多くの はたいがいの
んだろう とやろう
聞きましたが 聞いたばってんか
聞きました 聞いたばい
ますから ますけん
関係ない 関係なか
のような のごたる
遅く 遅う
くれる くる
言います ゆうと
ありますよう あっごと
思っています 思うとっと
ていますか とっやろか
おかずに にこにこしてからおかずに
ですし やし
なんだなあ ばいねえ
なんだな ばいね
格段のでき もうじょうとうのでき
どうなんだろう どがんやろう
お好きな すいとる
つきません つかん
っていれば っとれば
ああうるさい あーもやかましか
ああめんどうくさい あーもせからしか
ああ面倒くさい あーもせからしか
あたたかかった ぬっかった
あたたかでした ぬっかった
あたらしい あたらしか
あたし うち
あったから あったけん
あっちへ あっちゃん
あって あったごたって
あちらへ あっちゃん
あなた ワイ
あの人 あい
あのね あんね
ありがとう ありがとぉ
ありがとうございました ありがとぉばい
ありました あったと
ありましたら あんなら
あります あっと
ありますが あっばってん
ありますね あるったいね
ありますので あっけんで
ありますから あっけん
ありますよね あんね
ありません なか
ありませんが なかばってんか
ありませんけど なかばってん
ありませんので なかけんで
ありませんから なかけん
あるいは そいか
あるが あっばってん
あるけど あっばってん
あるから あっけん
あるので あっけんで
あるのって あるとって
あるそうです あっとげな
あるそうですが あっとげなばってんか
あるそうですけど あっとげなばってん
あるそうですので あっとげなけんで
あるそうですから あっとげなけん
あるらしく あっごたって
あるだけ あっしこ
あるとき あっとき
あるのか あっとか
あるのだ あっとばい
あるのだね あっとね
あるのだが あっとばってんか
あるのだけど あっとばってん
あるのだから あっとけん
あるのだよ あっとばい
あるので あるけんで
あるのです あっと
あるのですが あっばってんか
あるのですけど あっとばってん
あるのですから あっとけん
あるのでしょう あっとやろう
あるのでしょうか あるとやろか
あるのでしょうが あっとやろうばってんか
あるのでしょうけど あっとやろうばってん
あるのでしょうから あっとやろうけん
あるん あると
あれが あいが
あれと あいと
あれの あいの
あれは あいは
あれを あいば
あんな あがん
あんまり あんまい
赤の あっか
赤く あこう
明るい 明るか
明るく 明るう
或いは そがんじゃなかなら
温かい ぬっか
温かく ぬくう
会いたい 会いたか
逢いたい 逢いたか
遭いたい 遭いたか
会いました おーた
会いましたが おーたばってんか
会いましたけど おーたばってん
会いましたので おーたけんで
会いましたから おーたけん
会った おーた
会ったが おーたばってんか
会ったけど おーたばってん
会ったので おーたけんで
会ったから おーたけん
会って おーて
会ってる おーとっ
会ってるが おーとっばってんか
会ってるけど おーとっばってん
会ってるので おーとっけんで
会ってるから おーとっけん
会っていた おーとった
会っていたが おーとったばってんか
会っていたけど おーとったばってん
会っていたので おーとったけんで
会っていたから おーとったけん
会っている おーとっ
会っているが おーとっばってんか
会っているけど おーとっばってん
会っているので おーとっけんで
会っているから おーとっけん
合いました おーた
合いましたが おーたばってんか
合いましたけど おーたばってん
合いましたので おーたけんで
合いましたから おーたけん
合った おーた
合ったが おーたばってんか
合ったけど おーたばってん
合ったので おーたけんで
合ったから おーたけん
合って おーて
合ってる おーとっ
合ってるが おーとっばってんか
合ってるけど おーとっばってん
合ってるので おーとっけんで
合ってるから おーとっけん
合っていた おーとった
合っていたが おーとったばってんか
合っていたけど おーとったばってん
合っていたので おーとったけんで
合っていたから おーとったけん
合っている おーとっ
合っているが おーとっばってんか
合っているけど おーとっばってん
合っているので おーとっけんで
合っているから おーとっけん
怪しく 怪しゅう
甘く 甘もう
誤って まちごーて
厚く 厚う
暑く 暑う
暖かい ぬっか
暖かかった ぬっかった
暖かく ぬくう
暖かでした ぬっかった
新しく 新しゅう
熱く 熱う
暴れて ばたくるうて
暴れる ばたくるう
い。 いってことばい。
いい よか
いいじゃないですか どーあんね
いいたします いすっけん
いいます ゆうと
いいますね ゆうね
いいますが ゆうばってんか
いいますけど ゆうばってん
いいますので ゆうけんで
いいますから ゆうけん
いいました ゆうた
いいましたが ゆうたばってんか
いいましたけど ゆうたばってん
いいましたので ゆうたけんで
いいましたから ゆうたけん
いいません ゆわん
いいませんが ゆわんばってんか
いいませんけど ゆわんばってん
いいませんので ゆわんけんで
いいませんから ゆわんけん
いいもん よかもん
いいの よかと
いいん よか
いいんだ よかと
いいんだよ よかとぞ
いいんです よかと
いいんですが よかとばってんか
いいんですけど よかとばってん
いいんですから よかとけん
いい加減 イイカゲン
いい気になって のぼして
いい気になってる のぼしとる
いんだよ かとぞ
いんだ かと
いんだね かとね
いんだから かとけん
言うの？ ゆうと？
言いました ゆうたと
言いました。 ゆうたとばい。
言いましたが ゆうたとばってんか
言いましたけど ゆうたとばってん
言いましたから ゆうたけん
言いましたので ゆうたけんで
言いません ゆわん
言いませんが ゆわんばってんか
言いませんけど ゆわんばってん
言いませんので ゆわんけんで
言いませんから ゆわんけん
言いませんでした ゆわんやった
言いませんでしたが ゆわんやったばってんか
言いませんでしたけど ゆわんやったばってん
